id,kwh
34255,0.106056375708
34282,0.0309738773598
34375,0.0719363391854
34572,0.0314196311017
34660,0.128164807268
34761,0.0378879703891
34814,0.0234508141476
34888,0.0281658454803
34913,0.0746557716945
34987,0.0285177854714
35099,0.021512553125
35254,0.0613046488881
35275,0.0369577709461
35304,0.024221548169
35378,0.127540719726
35381,0.0255682683041
35422,0.0682230780676
34363,0.0587399676291
34426,0.00313631142842
34539,0.0108749390116
34582,0.00821254789826
34596,0.0777970113119
34634,0.0739191529531
34842,0.00516582493387
34954,0.00429652730621
35001,0.00598688345317
35039,0.0913594967471
35103,0.12250152986
35157,0.0018873209042
35232,0.0887017402135
35398,0.00230145236807
35506,0.00281947918763
35527,0.0569855072553
54253,0.0345394676623
34152,0.00473754585116
34254,2.49758466347e-05
34293,0.000702584997888
34595,0.120643558777
34645,0.00829129275149
34768,0.121867422706
34790,0.0560813820992
34806,0.00777326593193
35047,0.0298423368187
35081,0.00232318668696
35098,0.0770694841287
35132,0.0135578858864
35140,0.000976644822483
35170,0.0565933892164
35382,0.00713738720142
35475,0.00986295577752
50840,0.124491466234
34240,0.0706226822655
34335,0.0279464833008
34374,0.0829741743817
34529,0.0394912130616
34542,0.0232561363636
34624,0.0576775086392
34762,0.0145563433343
34882,0.0309173896693
34955,0.0966600992044
34977,0.0248525576162
35055,0.0205675073525
35090,0.0350199894333
35195,0.12051234551
35226,0.0336164587989
35377,0.0872772285489
35423,0.0331358536607
35428,0.0593049986919
34466,0.0815674103781
34659,0.122011078325
34805,0.0708349120464
34849,0.0521177554799
34854,0.0472737328555
34902,0.0448504472206
34914,0.081903381038
34950,0.122561238514
35054,0.0504954265434
35175,0.0583828161707
35181,0.0469237005421
35227,0.0480293975548
35322,0.0453736632556
35369,0.134839487191
35429,0.122753020848
35526,0.0927494485479
54254,0.0359153409206
34153,0.0558164573433
34213,0.120873931666
34465,0.0689984177869
34478,0.11175476259
34672,0.0421933387106
34710,0.125092559349
34734,0.0827077064865
34850,0.0804279291379
34893,0.131204378392
35007,0.0433518036473
35188,0.0841397020368
35323,0.0809221399822
35452,0.0979923479903
35453,0.130599390958
35481,0.10726662584
35517,0.0980254404631
35518,0.0378030512809
34163,0.162494573498
34208,0.16220700197
34283,0.077101716276
34525,0.186533910211
34533,0.0947674941388
34543,0.140008532801
34777,0.122565053278
34889,0.153817235242
34981,0.141345204516
35000,0.140325501385
35091,0.0752144004264
35115,0.145614580981
35133,0.0971045235695
35287,0.175248456393
35295,0.12909508181
35462,0.154941436379
35482,0.195558242152
34524,0.289478173087
34526,0.095555881004
34532,0.14279549715
34541,0.176204489911
34711,0.124899781503
34729,0.206525760717
34767,0.0785274571465
34843,0.141877081527
34894,0.162792086005
34982,0.122991786993
35106,0.186363157566
35294,0.228152019774
35438,0.121079298714
35447,0.0752726624558
35461,0.187315152527
35485,0.178116912001
35494,0.156390808323
34207,0.212603817492
34626,0.182491142568
34671,0.193379798284
34678,0.21775665725
34735,0.0956961319914
34743,0.180979201805
34776,0.210270051646
34901,0.275731400138
34949,0.0980589415099
34970,0.218291705954
35111,0.21129254143
35201,0.354024810443
35260,0.21223893424
35370,0.148476872851
35439,0.303577339208
35469,0.124264397386
35552,0.187954380835
34144,0.263628604964
34540,0.212185341721
34679,0.271452808063
34791,0.197164158689
34855,0.110908474727
34867,0.148411358743
34903,0.204359577942
34919,0.303372643271
34956,0.31526750727
35078,0.316396682414
35194,0.120824355227
35215,0.20325015878
35255,0.273268416665
35337,0.120953368373
35392,0.228114687209
35432,0.143815124699
35535,0.199352626538
34164,0.193614738867
34294,0.207664582535
34651,0.194178507735
34702,0.0919401390091
34723,0.139871441865
34754,0.176942050232
34783,0.257024901916
34796,0.246439921578
35064,0.101130330464
35070,0.165946583259
35110,0.293333130762
35220,0.252758483494
35228,0.143153448297
35414,0.17727874086
35448,0.202510450345
35500,0.0862793638089
35528,0.195095987192
34268,0.13825861472
34401,0.22583064582
34414,0.0887980690586
34523,0.142746390262
34547,0.162133887058
34625,0.185660211821
34664,0.0970443544205
34831,0.211508750164
34942,0.288166031085
34960,0.149430840651
34964,0.187016636349
35027,0.119878196175
35033,0.0734714927796
35046,0.164228372881
35202,0.139565665328
35315,0.169183802884
35544,0.179028327885
34143,0.114371437151
34400,0.100342994045
34607,0.23505405054
34685,0.0984239634696
34755,0.132158303772
34813,0.214681915289
34861,0.0802908389043
34926,0.0954781063898
35016,0.114894371289
35209,0.076669855477
35221,0.108066166676
35266,0.0907773679411
35347,0.0923111083268
35351,0.116939867219
35397,0.101385620474
35512,0.126538005629
54252,0.0728804503692
34261,0.05667797158
34262,0.0676136557793
34340,0.0626125215201
34597,0.139338856113
34697,0.065180552788
34782,0.119535199526
34797,0.13906164685
34838,0.0549245222019
34934,0.0653987702634
35020,0.0686118909589
35210,0.0399823878661
35240,0.0668244587289
35261,0.0554256620236
35312,0.0545643503112
35349,0.0676994705826
35406,0.0634731535784
35543,0.102131566067
34196,0.0515841752365
34220,0.0481718872527
34477,0.136607924249
34550,0.0592779416965
34571,0.0472026927907
34701,0.108726450832
34742,0.0580262992422
